id,model,difficulty_score,input_tokens,output_tokens,classifier_input_tokens,classifier_output_tokens,latency_ms,raw_answer,correct
gsm8k_60,groq-cheap,1,111,561,176,32,3835,Let    * \(A_A\) = Andrea’s apples   * \(B_A\) = Andrea’s bananas   * \(A_J\) = Jamal’s apples   * \(B_J\) = Jamal’s bananas    The statements give the following equations    1. Andrea has 8 more apples than Jamal: \(A_A = A_J + 8\)   2. Andrea has half as many bananas as Jamal: \(B_A = \tfrac12 B_J\)   3. Jamal has 4 more bananas than apples: \(B_J = A_J + 4\)    We are told \(A_A = 52\).  ---  **Solve for Jamal’s apples**  \[ 52 = A_J + 8 \quad\Longrightarrow\quad A_J = 52 - 8 = 44. \]  **Jamal’s bananas**  \[ B_J = A_J + 4 = 44 + 4 = 48. \]  **Andrea’s bananas**  \[ B_A = \tfrac12 B_J = \tfrac12 \times 48 = 24. \]  ---  **Count the fruits**  * Andrea: \(A_A + B_A = 52 + 24 = 76\) fruits   * Jamal: \(A_J + B_J = 44 + 48 = 92\) fruits    Total fruits    \[ 76 + 92 = 168. \]  \[ \boxed{168} \],True
gsm8k_61,groq-cheap,1,155,189,220,29,10770,"Each adult eats \(10\) lb, so the 20 adults need    \[ 20 \times 10 = 200\text{ lb}. \]  Each child eats half of an adult’s portion, i.e. \(5\) lb.   The 5 children need    \[ 5 \times 5 = 25\text{ lb}. \]  Adding them together:  \[ 200\text{ lb} + 25\text{ lb} = 225\text{ lb}. \]  **Ted should bring 225 pounds of potato salad.**",True
gsm8k_62,groq-cheap,1,147,196,211,62,3142,"The total number of cookies is    \[ 100\text{ guests} \times 15\text{ cookies per guest}=1500\text{ cookies}. \]  The bride gave half of them to the church:  \[ \frac12 \times 1500 = 750\text{ cookies}. \]  If each person in the church received 15 cookies, the number of people is  \[ \frac{750\text{ cookies}}{15\text{ cookies/person}} = 50\text{ people}. \]  **So, there were 50 people in the church next door.**",True
gsm8k_63,groq-cheap,1,103,392,168,92,2865,"Emily peels shrimp at a rate of    \[ 6\text{ shrimp/minute} \]  so to peel 90 shrimp she needs    \[ \frac{90\text{ shrimp}}{6\text{ shrimp/min}} = 15\text{ minutes}. \]  She sautés shrimp at a rate of    \[ 30\text{ shrimp in }10\text{ minutes} = 3\text{ shrimp/minute}. \]  To cook 90 shrimp she needs    \[ \frac{90\text{ shrimp}}{3\text{ shrimp/min}} = 30\text{ minutes}. \]  Since the peeling and cooking steps are done sequentially, the total time is    \[ 15\text{ min (peeling)} + 30\text{ min (cooking)} = 45\text{ minutes}. \]  **Answer: 45 minutes.**",True
gsm8k_64,groq-cheap,1,125,143,190,57,1442,"Billy sold    - \(3 \times 1 = 3\) DVDs to the first three customers,   - \(2 \times 2 = 4\) DVDs to the next two customers, and   - \(3 \times 0 = 0\) DVDs to the last three customers.    Adding them up: \(3 + 4 + 0 = 7\).  **Billy sold 7 DVDs on Tuesday.**",True
gsm8k_65,groq-cheap,1,129,256,193,82,3824,Hannah burns    - Aerobics: \(2 \text{ hrs} \times 500 \text{ cal/hr} = 1000 \text{ cal}\)   - Running: \(1 \text{ hr} \times 600 \text{ cal/hr} = 600 \text{ cal}\)  Total calories burned = \(1000 + 600 = 1600\) calories.  She needs 100 ml of water for every 200 calories:  \[ \frac{1600\ \text{cal}}{200\ \text{cal}} = 8 \text{ (units)} \]  Water required = \(8 \times 100\ \text{ml} = 800\ \text{ml}\).  **Answer: Hannah should drink 800 ml of water.**,True
gsm8k_66,groq-cheap,1,124,241,189,65,3052,"Let    - \(A\) = number of votes **against** the regulation   - \(F\) = number of votes **in favor** of the regulation    The problem states that the vote in favor was twice the number against:  \[ F = 2A \]  All 33 council members voted, so  \[ A + F = 33. \]  Substituting \(F = 2A\) gives  \[ A + 2A = 33 \quad\Longrightarrow\quad 3A = 33 \quad\Longrightarrow\quad A = 11. \]  Therefore the number of votes in favor is  \[ F = 2A = 2 \times 11 = 22. \]  \[ \boxed{22} \]",True
gsm8k_67,groq-cheap,1,147,182,210,92,1805,Each week she cleans    - **Blouses:** 5 × $5 = **$25**   - **Pants:** 2 × $8 = **$16**   - **Skirt:** 1 × $6 = **$6**    Weekly total = $25 + $16 + $6 = **$47**    For 5 weeks:    \(5 \times \$47 = \boxed{\$235}\),True
gsm8k_68,groq-cheap,1,116,325,181,112,2662,"Each person eats    \[ 0.2\text{ kg per meal} \]  and they have **two** meals (lunch + dinner) each day.    So one person’s daily consumption is    \[ 0.2\text{ kg} \times 2 = 0.4\text{ kg}. \]  With 5 members, the household’s daily consumption is    \[ 5 \times 0.4\text{ kg} = 2.0\text{ kg per day}. \]  A 42 kg bag will therefore last    \[ \frac{42\text{ kg}}{2.0\text{ kg/day}} = 21\text{ days}. \]  Since one week has 7 days,  \[ \frac{21\text{ days}}{7\text{ days/week}} = 3\text{ weeks}. \]  **Answer: The 42 kg bag will last 3 weeks.**",True
gsm8k_69,groq-cheap,1,157,293,222,88,2376,"Millie's total profit is    \[ \text{Revenue} - \text{Cost}= (36\text{ cups}\times \$1) - \$18 = \$36-\$18 = \$18. \]  She sells an average of 4 cups per hour, so the 36 cups are sold in    \[ \frac{36\text{ cups}}{4\text{ cups/hour}} = 9\text{ hours}. \]  Thus her profit per hour is    \[ \frac{\$18}{9\text{ hours}} = \$2 \text{ per hour}. \]  **Answer: \$2 per hour.**",True
gsm8k_70,groq-cheap,1,121,277,186,100,1838,The chocolate ice cream is produced at    \[ \frac{100\text{ quarts}}{2\text{ hr}} = 50\text{ quarts/hr}. \]  The vanilla ice cream is produced at    \[ \frac{50\text{ quarts}}{4\text{ hr}} = 12.5\text{ quarts/hr}. \]  Together the factory makes    \[ 50 + 12.5 = 62.5\text{ quarts/hr}. \]  Over 48 hours the total amount is    \[ 62.5\text{ quarts/hr} \times 48\text{ hr}= 62.5 \times 48 = 3000\text{ quarts}. \]  \[ \boxed{3000\text{ quarts}} \],True
gsm8k_71,groq-cheap,1,175,198,240,64,2072,"Each truck carried **20 tons** of fertilizer.  - Total trucks dispatched: **20** - Trucks that failed: \( \frac{1}{4} \times 20 = 5 \) - Trucks that actually delivered: \( 20 - 5 = 15 \)  Fertilizer delivered:  \[ 15 \text{ trucks} \times 20 \text{ tons/truck} = 300 \text{ tons} \]  **Therefore, 300 tons of fertilizer reached the farmers that day.**",True
gsm8k_72,groq-cheap,1,111,215,176,29,1412,Chester will need **20 dozens of eggs** for the 60‑day period.   - First 30 days: \(3 \text{ eggs/day} \times 30 \text{ days} = 90\) eggs   - Next 30 days: \(5 \text{ eggs/day} \times 30 \text{ days} = 150\) eggs   - Total eggs: \(90 + 150 = 240\) eggs    Since one dozen equals 12 eggs:   \[ \frac{240\ \text{eggs}}{12\ \text{eggs/dozen}} = 20\ \text{dozens} \],True
gsm8k_73,groq-cheap,1,113,129,177,30,1463,Lloyd’s earnings:  - First week: \(5 \text{ hours} \times \$10/\text{hour} = \$50\) - Second week: \(8 \text{ hours} \times \$10/\text{hour} = \$80\)  Total for the two weeks: \(\$50 + \$80 = \boxed{\$130}\).,True
gsm8k_74,groq-cheap,1,133,310,198,81,1725,"First, find the total number of s’mores needed:  - Kids: \(9 \times 2 = 18\) s’mores   - Adults: \(6 \times 1 = 6\) s’mores    Total = \(18 + 6 = 24\) s’mores.  Each sleeve of graham crackers makes the base for 8 s’mores, so the number of sleeves required is    \[ \frac{24\ \text{s’mores}}{8\ \text{s’mores per sleeve}} = 3\ \text{sleeves}. \]  A box contains 3 sleeves, so the number of boxes needed is    \[ \frac{3\ \text{sleeves}}{3\ \text{sleeves per box}} = 1\ \text{box}. \]  \[ \boxed{1} \]",True
mmlu_0,groq-cheap,1,141,103,206,25,1627,B,False
mmlu_1,gemini-capable,4,219,1,349,77,2050,C,False
mmlu_2,groq-cheap,1,166,74,231,60,1360,C,True
mmlu_3,groq-cheap,1,229,179,294,21,1413,D,True
mmlu_4,groq-cheap,1,133,40,198,32,1081,C,True
mmlu_5,groq-cheap,1,197,103,262,32,1482,B,True
mmlu_6,groq-cheap,1,558,353,623,39,1887,A,False
mmlu_7,groq-cheap,1,188,124,253,75,1292,B,True
mmlu_8,groq-cheap,1,134,114,199,43,1186,C,True
mmlu_9,groq-cheap,1,161,83,225,63,1156,C,True
mmlu_10,groq-cheap,3,186,96,252,101,1101,D,True
mmlu_11,groq-cheap,1,220,1403,284,41,4011,C,False
mmlu_12,groq-cheap,1,185,130,250,94,1734,B,False
mmlu_13,gemini-capable,4,110,1,247,41,2631,C,True
mmlu_14,groq-cheap,1,189,124,254,39,1396,D,True
mmlu_15,gemini-capable,4,106,1,239,36,1992,D,True
mmlu_16,groq-cheap,1,418,311,483,118,2021,A,True
mmlu_17,groq-cheap,1,140,68,205,25,1416,D,True
mmlu_18,groq-cheap,1,161,244,226,34,1782,C,True
mmlu_19,groq-cheap,1,187,112,251,32,1764,A,True
mmlu_20,groq-cheap,1,142,43,207,44,1467,D,True
mmlu_21,groq-cheap,1,685,911,750,58,2865,C,False
mmlu_22,groq-cheap,1,198,108,263,36,1383,C,True
mmlu_23,groq-cheap,1,150,82,215,73,1039,B,True
mmlu_24,gemini-capable,4,70,1,202,42,1902,A,True
mmlu_25,groq-cheap,1,142,21,208,44,1253,D,True
mmlu_26,gemini-capable,4,171,1,306,33,1445,B,False
mmlu_27,groq-cheap,1,158,123,223,35,1431,D,True
mmlu_28,groq-cheap,1,218,267,283,83,1637,D,True
mmlu_29,groq-cheap,1,163,76,228,56,1267,C,True
mmlu_30,groq-cheap,1,136,92,202,38,1069,D,True
mmlu_31,groq-cheap,1,154,94,219,29,1313,B,True
mmlu_32,groq-cheap,1,208,85,273,84,1432,C,True
mmlu_33,groq-cheap,1,134,107,200,64,1057,C,True
mmlu_34,gemini-capable,4,250,1,378,55,4131,C,True
mmlu_35,groq-cheap,1,148,61,213,29,969,D,True
mmlu_36,groq-cheap,1,268,222,333,30,1591,B,True
mmlu_37,groq-cheap,1,229,126,294,104,1272,C,True
mmlu_38,groq-cheap,1,161,162,227,36,1578,C,True
mmlu_39,groq-cheap,3,148,128,214,33,1061,B,True
mmlu_40,groq-cheap,1,194,129,259,37,1200,D,True
mmlu_41,groq-cheap,1,185,44,250,50,1139,C,True
mmlu_42,groq-cheap,1,136,66,201,70,1140,D,True
mmlu_43,groq-cheap,1,169,84,234,32,1029,C,True
mmlu_44,groq-cheap,1,128,35,193,25,1348,C,True
mmlu_45,groq-cheap,1,123,81,188,53,1133,B,True
mmlu_46,groq-cheap,1,146,203,212,40,1359,C,False
mmlu_47,groq-cheap,1,141,138,205,55,1357,A,True
mmlu_48,groq-cheap,1,249,133,314,42,1436,D,True
mmlu_49,groq-cheap,1,305,184,370,74,1583,A,False
mmlu_50,groq-cheap,1,150,98,215,71,1614,C,False
mmlu_51,groq-cheap,1,144,94,209,43,1415,B,True
mmlu_52,groq-cheap,1,252,235,317,78,1811,A,True
mmlu_53,groq-cheap,1,137,156,202,31,1217,A,True
mmlu_54,groq-cheap,1,263,145,328,39,1178,D,True
mmlu_55,groq-cheap,1,189,32,254,29,1099,A,True
mmlu_56,groq-cheap,1,133,56,198,35,1186,D,True
mmlu_57,groq-cheap,1,161,98,226,48,1068,C,True
mmlu_58,groq-cheap,1,211,58,276,55,1014,B,True
mmlu_59,groq-cheap,1,175,82,240,44,1465,D,True
mmlu_60,groq-cheap,1,194,181,259,38,1336,A,True
mmlu_61,groq-cheap,1,188,77,253,53,1036,A,True
mmlu_62,groq-cheap,1,202,132,267,38,1425,C,True
mmlu_63,groq-cheap,1,126,58,192,48,1262,B,True
mmlu_64,groq-cheap,1,289,141,354,56,1380,B,True
mmlu_65,groq-cheap,1,130,70,194,49,1246,B,True
mmlu_66,groq-cheap,1,166,163,231,33,1314,A,True
mmlu_67,groq-cheap,1,212,484,277,286,2250,C,True
mmlu_68,groq-cheap,1,146,172,211,33,1348,B,True
mmlu_69,groq-cheap,1,150,81,216,31,1267,C,True
mmlu_70,groq-cheap,1,173,96,238,32,1723,B,True
mmlu_71,groq-cheap,2,128,54,193,85,1464,B,True
mmlu_72,groq-cheap,1,186,172,251,30,1568,D,True
mmlu_73,groq-cheap,1,399,556,464,19,2284,B,True
mmlu_74,groq-cheap,1,199,68,264,47,1519,B,True
